,organism,protein ,Protein Type,uniprot,Alt. Names,gene ,CST_ID
0,mouse,Tyrosine-protein kinase ABL2,"Abl family; EC 2.7.10.2; Kinase, protein; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",Q4JIM5,"AA536808; abelson murine leukemia viral oncogene homolog 2; Abelson tyrosine-protein kinase 2; Abelson-related gene protein; Abl2; Abll; ARG; MGC169395; tyrosine kinase ARG; Tyrosine-protein kinase ABL2; Tyrosine-protein kinase ARG; v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene); v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)",Abl2,1407
1,human,Acetyl-CoA carboxylase 1,Carbohydrate Metabolism - propanoate; Carbohydrate Metabolism - pyruvate; EC 6.3.4.14; EC 6.4.1.2; Ligase; Lipid Metabolism - fatty acid biosynthesis,Q13085,ACAC; ACACA; ACACAD; ACC; ACC-alpha; ACC1; ACCA; Acetyl-CoA carboxylase 1; acetyl-CoA carboxylase alpha; acetyl-CoA carboxylase-alpha; acetyl-Coenzyme A carboxylase alpha; Biotin carboxylase,ACACA,1109
2,human,Beta-2 adrenergic receptor,"GPCR, family 1; Membrane protein, integral; Membrane protein, multi-pass; Receptor, GPCR",P07550,"ADRB2; ADRB2R; ADRBR; adrenergic, beta-2-, receptor, surface; adrenoceptor beta 2; adrenoceptor beta 2 surface; B2AR; BAR; Beta-2 adrenergic receptor; Beta-2 adrenoceptor; Beta-2 adrenoreceptor; beta-2-Adrenergic Receptor; BETA2AR; catecholamine receptor",ADRB2,1229
3,mouse,Annexin A1,Calcium-binding; Lipid-binding,P10107,Annexin A1; Annexin I; Annexin-1; Anx; Anx-1; Anx-A1; Anx1; Anxa1; C430014K04Rik; Calpactin II; Calpactin-2; Chromobindin-9; lipocortin 1; Lipocortin I; Lpc; Lpc-1; Lpc1; p35; Phospholipase A2 inhibitory protein,Anxa1,1403
4,human,C->U-editing enzyme APOBEC-1,Cell cycle regulation; EC 3.5.4.-; Hydrolase; RNA processing; RNA-binding,P41238,"ABEC1; APOBEC-1; APOBEC1; apolipoprotein B mRNA editing enzyme catalytic subunit 1; apolipoprotein B mRNA editing enzyme complex-1; apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1; Apolipoprotein B mRNA-editing enzyme 1; BEDP; C->U-editing enzyme APOBEC-1; CDAR1; HEPR; mRNA(cytosine(6666)) deaminase 1",APOBEC1,1328
5,mouse,C->U-editing enzyme APOBEC-1,Cell cycle regulation; EC 3.5.4.-; Hydrolase; RNA processing; RNA-binding,P51908,"ABEC1; Apobec1; apolipoprotein B editing complex 1; apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1; Apolipoprotein B mRNA-editing enzyme 1; C->U-editing enzyme APOBEC-1; Cdar1; mRNA(cytosine(6666)) deaminase 1; OTTMUSP00000029041; OTTMUSP00000029042",Apobec1,1404
6,mouse,Cyclic AMP-dependent transcription factor ATF-4,DNA-binding; Transcription factor,Q06507,Activating transcription factor 4; Atf-; Atf-4; Atf4; C/AT; C/ATF; C/EBP-related ATF; cAMP-dependent transcription factor ATF-4; cAMP-responsive element-binding protein 2; CREB; CREB-2; CREB2; Cyclic AMP-dependent transcription factor ATF-4; Cyclic AMP-responsive element-binding protein 2; MGC96460; Tax-responsive enhancer element-binding protein 67 homolog; TAXREB; TAXREB67; TaxREB67 homolog,Atf4,1412
7,human,Bcl2-associated agonist of cell death,Apoptosis,Q92934,BAD; BBC2; BBC6; Bcl-2-binding component 6; Bcl-2-like protein 8; BCL-X/BCL-2 binding protein; Bcl-XL/Bcl-2-associated death promoter; Bcl2 antagonist of cell death; BCL2 associated agonist of cell death; BCL2-antagonist of cell death protein; Bcl2-associated agonist of cell death; BCL2-binding component 6; BCL2-binding protein; Bcl2-L-8; BCL2L8,BAD,1156
8,human,Breast cancer anti-estrogen resistance protein 1,Adaptor/scaffold; Motility/polarity/chemotaxis,P56945,"BCAR1; BCAR1 scaffold protein, Cas family member; BCAR1, Cas family scaffold protein; BCAR1, Cas family scaffolding protein; breast cancer anti-estrogen resistance 1; Breast cancer anti-estrogen resistance protein 1; CAS; Cas scaffolding protein family member 1; CAS1; CASS1; CRK-associated substrate; Crk-associated substrate p130Cas; CRKAS; FLJ12176; FLJ45059; p130cas",BCAR1,1118
9,human,Baculoviral IAP repeat-containing protein 5,Apoptosis,O15392,API4; Apoptosis inhibitor 4; Apoptosis inhibitor survivin; baculoviral IAP repeat containing 5; baculoviral IAP repeat-containing 5; Baculoviral IAP repeat-containing protein 5; BIRC5; EPR-1; IAP4; Survivin; survivin variant 3 alpha,BIRC5,1056
10,human,Tyrosine-protein kinase Blk,"EC 2.7.10.2; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); Src family; SrcB subfamily; TK group",P51451,"B lymphocyte kinase; B lymphoid tyrosine kinase; BLK; BLK nonreceptor tyrosine kinase; BLK proto-oncogene, Src family tyrosine kinase; MGC10442; MODY11; p55-Blk; Tyrosine-protein kinase Blk",BLK,1248
11,human,B-cell linker protein,Adaptor/scaffold,Q8WV28,AGM4; B cell adaptor containing SH2 domain; B cell linker; B cell linker protein; B-cell activation; B-cell adapter containing a SH2 domain protein; B-cell adapter containing a Src homology 2 domain protein; B-cell linker; B-cell linker protein; BASH; bca; BLNK; BLNK-S; Cytoplasmic adapter protein; LY57; MGC111051; SLP-65; SLP65; Src homology 2 domain-containing leukocyte protein of 65 kDa; Src homology [SH2] domain-containing leukocyte protein of 65 kD,BLNK,1117
12,human,G1/S-specific cyclin-D1,Activator; Cell cycle regulation; Nuclear receptor co-regulator; Oncoprotein,P24385,B-cell CLL/lymphoma 1; B-cell lymphoma 1 protein; BCL-1; BCL-1 oncogene; BCL1; CCND1; CycD1; cyclin D1; D11S287E; G1/S-specific cyclin D1; G1/S-specific cyclin-D1; PRAD1; PRAD1 oncogene; U21B31,CCND1,1166
13,mouse,G1/S-specific cyclin-D1,Activator; Cell cycle regulation; Nuclear receptor co-regulator; Oncoprotein,P25322,AI327039; bcl-; bcl-1; Ccnd1; cD1; CycD1; cyclin D1; Cyl-; Cyl-1; G1/S-specific cyclin-D1; OTTMUSP00000031858; PRAD1,Ccnd1,1516
14,human,G1/S-specific cyclin-E1,Activator; Cell cycle regulation; Nuclear receptor co-regulator,P24864,CCNE; CCNE1; cyclin E1; cyclin Es; cyclin Et; G1/S-specific cyclin-E1; pCCNE1,CCNE1,1167
15,human,B-lymphocyte antigen CD19,"Cell surface; Membrane protein, integral",P15391,B-lymphocyte antigen CD19; B-lymphocyte surface antigen B4; B4; CD19; CD19 antigen; CD19 molecule; CVID3; Differentiation antigen CD19; MGC12802; T-cell surface antigen Leu-12,CD19,1231
16,mouse,B-cell antigen receptor complex-associated protein alpha chain,"Immunoglobulin superfamily; Membrane protein, integral",P11911,B-cell antigen receptor complex-associated protein alpha chain; Cd79; Cd79a; CD79A antigen (immunoglobulin-associated alpha); Ig alpha; Ig-; Ig-alpha; Iga; Igalpha; immunoglobulin-associated alpha; Ly-5; Ly-54; Ly5; Ly54; Mb-1; MB-1 membrane glycoprotein; Membrane-bound immunoglobulin-associated protein; Surface IgM-associated protein,Cd79a,1290
17,human,M-phase inducer phosphatase 1,"EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",P30304,CDC25A; CDC25A2; cell division cycle 25 homolog A (S. pombe); cell division cycle 25A; Dual specificity phosphatase Cdc25A; M-phase inducer phosphatase 1; MPIP1,CDC25A,1198
18,mouse,M-phase inducer phosphatase 1,"EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",P48964,Cdc25a; Cdc25m3; cell division cycle 25 homolog A (S. pombe); cell division cycle 25A; D9Ertd393; D9Ertd393e; Dual specificity phosphatase Cdc25A; M-phase inducer phosphatase 1; MPIP1,Cdc25a,1448
19,mouse,Cyclin-dependent kinase 2,"CDK family; CDK/CDK1 subfamily; CDK2 subfamily; CMGC group; Cell cycle regulation; EC 2.7.11.22; Kinase, protein; Protein kinase, CMGC; Protein kinase, Ser/Thr (non-receptor)",P97377,A630093N05Rik; Cdk2; Cdkn2; Cell division protein kinase 2; Cyclin-dependent kinase 2,Cdk2,1451
20,mouse,Carcinoembryonic antigen-related cell adhesion molecule 1,"Cell adhesion; Immunoglobulin superfamily; Membrane protein, integral; Motility/polarity/chemotaxis",P31809,bb-1; Bgp; BGP-1; Bgp1; Bgpd; Biliary glycoprotein 1; Biliary glycoprotein D; C-CA; C-CAM; carcinoembryonic antigen 1; carcinoembryonic antigen 7; Carcinoembryonic antigen-related cell adhesion molecule 1; Cc1; CD66; CD66a; Cea; Cea-; Cea-1; Cea-7; CEA-related cell adhesion molecule 1; Cea1; Cea7; Ceacam1; CEAM1; hepatitis virus (MHV-4) susceptibility; hepatitis virus receptor; Hv-; Hv-2; Hv2; mCEA; mCEA1; MHV; Mhv-; Mhv-1; MHV-R; MHVR; MHVR1; mmCGM1; mmCGM1a; mmCGM2; Murine hepatitis virus receptor,Ceacam1,1190
21,human,Carcinoembryonic antigen-related cell adhesion molecule 1,"Cell adhesion; Immunoglobulin superfamily; Membrane protein, integral; Motility/polarity/chemotaxis",P13688,antigen CD66; BGP; BGP-1; BGP1; BGPI; Biliary glycoprotein 1; biliary glycoprotein adhesion molecule; carcinoembryonic antigen related cell adhesion molecule 1; Carcinoembryonic antigen-related cell adhesion molecule 1; carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein); CD66a; CD66a antigen; CEA cell adhesion molecule 1; CEACAM1; CEAM1,CEACAM1,1454
22,mouse,CCAAT/enhancer-binding protein alpha,DNA-binding; Transcription factor,P53566,"C/ebp; C/EBP alpha; C/EBP-alpha; C/ebpalpha; CBF-A; CCAAT/enhancer binding protein (C/EBP), alpha; CCAAT/enhancer-binding protein alpha; Ceb; Cebp; Cebpa",Cebpa,1159
23,human,CCAAT/enhancer-binding protein beta,DNA-binding; Motility/polarity/chemotaxis; Transcription factor,P17676,"C/EBP beta; C/EBP-beta; CCAAT enhancer binding protein beta; CCAAT/enhancer binding protein (C/EBP), beta; CCAAT/enhancer-binding protein beta; CEBPB; CRP2; IL6DBP; interleukin 6-dependent DNA-binding protein; LAP; LIP; Liver activator protein; Liver-enriched inhibitory protein; liver-enriched transcriptional activator protein; MGC32080; NF-IL6; Nuclear factor NF-IL6; nuclear factor of interleukin 6; TCF-5; TCF5; Transcription factor 5; transcription factor C/EBP beta",CEBPB,1160
24,mouse,Cofilin-1,Cytoskeletal; Motility/polarity/chemotaxis; Nuclear receptor co-regulator,P18760,"AA959946; Cfl1; Cof; COF1; cofilin 1, non-muscle; Cofilin, non-muscle isoform; Cofilin-1; n-c; n-cofilin",Cfl1,1482
25,human,MHC class II transactivator,"DNA-binding; EC 2.7.11.1; Protein kinase, Ser/Thr (non-receptor); Transcription, coactivator/corepressor",P33076,"C2TA; CIITA; CIITAIV; class II major histocompatibility complex transactivator; class II transactivator; class II, major histocompatibility complex, transactivator; MHC class II transactivator; MHC class II transactivator type I; MHC class II transactivator type III; MHC2TA; NLR family, acid domain containing; NLRA; nucleotide-binding oligomerization domain, leucine rich repeat and acid domain containing",CIITA,1164
26,rat,Clathrin heavy chain 1,Motility/polarity/chemotaxis; Vesicle,P11442,"Clathrin heavy chain 1; clathrin, heavy chain (Hc); clathrin, heavy polypeptide (Hc); CLH; Cltc",Cltc,1481
27,rat,Cyclic AMP-responsive element-binding protein 1,DNA-binding; Transcription factor,P15337-1,cAMP response element binding protein 1; cAMP responsive element binding protein 1; cAMP-responsive element-binding protein 1; Creb; CREB-1; Creb1; Cyclic AMP-responsive element-binding protein 1; Y protein,Creb1,1311
28,mouse,Cyclic AMP-responsive element-binding protein 1,DNA-binding; Transcription factor,Q01147,2310001E10Rik; 3526402H21Rik; AV083133; cAMP responsive element binding protein 1; cAMP-responsive element-binding protein 1; Cre; Creb; Creb-; CREB-1; Creb1; Cyclic AMP-responsive element-binding protein 1,Creb1,1490
29,rat,Histone lysine acetyltransferase CREBBP,"Acetyltransferase; DNA-binding; EC 2.3.1.48; Motility/polarity/chemotaxis; Nuclear receptor co-regulator; Transcription, coactivator/corepressor",Q6JHU9,CBP; CREB binding protein; CREB-binding protein; Crebbp; Histone lysine acetyltransferase CREBBP; RSTS; RTS,Crebbp,1329
30,mouse,cAMP-responsive element modulator,DNA-binding; Transcription factor,P27699,cAMP responsive element moderator; cAMP responsive element modulator; cAMP-responsive element modulator; Crem; ICER; ICERI; Inducible cAMP early repressor,Crem,1491
31,human,Adapter molecule crk,Adaptor/scaffold; Motility/polarity/chemotaxis; Oncoprotein,P46108,"Adapter molecule crk; avian sarcoma virus CT10 (v-crk) oncogene homolog; CRK; CRK proto-oncogene, adaptor protein; CRKII; p38; Proto-oncogene c-Crk; v-crk avian sarcoma virus CT10 oncogene homolog; v-crk sarcoma virus CT10 oncogene homolog (avian); v-crk sarcoma virus CT10 oncogene-like protein",CRK,1083
32,human,Crk-like protein,Adaptor/scaffold; Motility/polarity/chemotaxis,P46109,"CRK like proto-oncogene, adaptor protein; Crk-like protein; CRKL; v-crk avian sarcoma virus CT10 oncogene homolog-like; v-crk sarcoma virus CT10 oncogene homolog (avian)-like",CRKL,1084
33,mouse,Alpha-crystallin B chain,Chaperone; Heat shock protein,P23927,"alpha B-crystallin; Alpha(B)-crystallin; Alpha-crystallin B chain; Cry; Crya; Crya-2; Crya2; Cryab; crystallin, alpha 2; crystallin, alpha B; heat shock protein CryAB; heat shock protein HspB5; Hsp; HspB5; P23",Cryab,1507
34,human,Tyrosine-protein kinase CSK,"Csk family; EC 2.7.10.2; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",P41240,"C-Src kinase; c-src tyrosine kinase; C-terminal Src kinase; CSK; CSK, non-receptor tyrosine kinase; MGC117393; Protein-tyrosine kinase CYL; Tyrosine-protein kinase CSK",CSK,1240
35,human,Disabled homolog 1,Adaptor/scaffold,O75553,"DAB adaptor protein 1; Dab reelin signal transducer 1; Dab, reelin signal transducer, homolog 1; DAB1; DAB1, reelin adaptor protein; Disabled homolog 1; disabled homolog 1 (Drosophila); SCA37",DAB1,1104
36,human,DnaJ homolog subfamily C member 5,Vesicle,Q9H3Z4,"Ceroid-lipofuscinosis neuronal protein 4; CLN4; CLN4B; CSP; Cysteine string protein; cysteine string protein alpha; DKFZp434N1429; DKFZp761N1221; DnaJ (Hsp40) homolog, subfamily C, member 5; DnaJ heat shock protein family (Hsp40) member C5; DnaJ homolog subfamily C member 5; DNAJC5; DNAJC5A; DNJC5; FLJ00118; FLJ13070; mir-941-2; mir-941-3; mir-941-4; mir-941-5; NCL",DNAJC5,1227
37,mouse,Docking protein 2,Adaptor/scaffold,O70469,Docking protein 2; Dok-R; Dok-related protein; Dok2; DokR; Downstream of tyrosine kinase 2; FRIP; IL-Four Receptor Interacting Protein; IL-four receptor-interacting protein; p56 dok-2; p56(dok-2),Dok2,1137
38,rat,Dihydropyrimidinase-related protein 2,Microtubule-binding; Motility/polarity/chemotaxis,P47942,"Collapsin response mediator protein 2; CRMP-2; Crmp2; dihydropyrimidinase-like 2; Dihydropyrimidinase-related protein 2; DPYL2; Dpysl2; DRP-2; TOAD-64; Turned on after division 64 kDa protein; turned on after division, 64 kDa protein",Dpysl2,1499
39,human,Dual specificity protein phosphatase 10,"EC 3.1.3.16; EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",Q9Y6W6,dual specificity phosphatase 10; dual specificity phosphatase MKP-5; Dual specificity protein phosphatase 10; DUS10; DUSP10; MAP kinase phosphatase 5; Mitogen-activated protein kinase phosphatase 5; MKP-5; MKP5; serine/threonine specific protein phosphatase,DUSP10,1355
40,mouse,Dual specificity protein phosphatase 2,"EC 3.1.3.16; EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",Q05922,dual specificity phosphatase 2; Dual specificity protein phosphatase 2; Dual specificity protein phosphatase PAC-1; DUS2; Dusp2; OTTMUSP00000017127; Pac-1; Pac1,Dusp2,1344
41,human,Dual specificity protein phosphatase 2,"EC 3.1.3.16; EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",Q05923,dual specificity phosphatase 2; Dual specificity protein phosphatase 2; Dual specificity protein phosphatase PAC-1; dual-specificity phosphatase 2; DUS2; DUSP2; PAC-1; PAC1; serine/threonine specific protein phosphatase,DUSP2,1343
42,rat,Dual specificity protein phosphatase 5,"EC 3.1.3.16; EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, dual-specificity",O54838,candidate plasticity-related gene 21; Cpg21; dual specificity phosphatase 5; Dual specificity protein phosphatase 5; DUS5; Dusp5; MAP-kinase phosphatase (cpg21); MAP-kinase phosphatase CPG21,Dusp5,1347
43,mouse,Transcription factor E2F1,DNA-binding; Transcription factor,Q61501,E2F transcription factor 1; E2F-1; E2f1; KIAA4009; mKIAA4009; OTTMUSP00000016974; RP23-109C16.5; Tg(Wnt1-cre)2Sor; Transcription factor E2F1,E2f1,1530
44,human,Transcription factor E2F5,DNA-binding; Transcription factor,Q15329,"E2F transcription factor 5; E2F transcription factor 5, p130-binding; E2F-5; E2F5; Transcription factor E2F5",E2F5,1534
45,mouse,Elongation factor 2,Translation; Translation elongation,P58252,Eef2; EF-2; EF2; Elongation factor 2; eukaryotic translation elongation factor 2; MGC98463,Eef2,1537
46,human,Ephrin-B1,"Ligand, receptor tyrosine kinase; Membrane protein, integral",P98172,CFND; CFNS; EFB1; EFL-3; EFL3; EFNB1; ELK ligand; ELK-L; EPH-related receptor tyrosine kinase ligand 2; Ephrin B1; Ephrin-B1; Ephrin-B1 C-terminal fragment; Ephrin-B1 CTF; Ephrin-B1 ICD; Ephrin-B1 intracellular domain; EPLG2; LERK-2; LERK2; ligand of eph-related kinase 2; MGC8782,EFNB1,1089
47,mouse,Early growth response protein 1,C2H2-type zinc finger protein; DNA-binding; Transcription factor,P08046,A530045N19Rik; early growth response 1; Early growth response protein 1; egr; Egr-; EGR-1; Egr1; ETR10; ETR103; Krox; Krox-; Krox-1; Krox-24; Krox-24 nuclear protein; Krox24; Nerve growth factor-induced protein A; NGF; NGF1; NGF1-A; NGFI-A; NGFIA; OTTMUSP00000023149; TIS8; Transcription factor Zif268; Zen; Zenk; Zfp-; Zfp-6; Zif26; Zif268; Zinc finger protein Krox-24,Egr1,1554
48,human,Eukaryotic translation initiation factor 2-alpha kinase 1,"EC 2.7.11.1; HRI subfamily; Kinase, protein; Other group; PEK family; Protein kinase, Other; Protein kinase, Ser/Thr (non-receptor); Translation",Q9BQI3,E2AK1; EIF2AK1; eukaryotic translation initiation factor 2 alpha kinase 1; Eukaryotic translation initiation factor 2-alpha kinase 1; HCR; heme regulated initiation factor 2 alpha kinase; heme sensitive initiation factor 2a kinase; Heme-controlled repressor; Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase; Heme-regulated inhibitor; heme-regulated initiation factor 2-alpha kinase; heme-regulated repressor; Hemin-sensitive initiation factor 2-alpha kinase; hHRI; HRI; KIAA1369; LEMSPAD,EIF2AK1,1674
49,human,Translation initiation factor eIF-2B subunit epsilon,Translation; Translation initiation,Q13144,"CACH; CLE; EI2BE; EIF-2B; eIF-2B GDP-GTP exchange factor subunit epsilon; eIF2B-epsilon; EIF2B5; EIF2BE; EIF2Bepsilon; eukaryotic translation initiation factor 2B subunit epsilon; eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa; LVWM; Translation initiation factor eIF-2B subunit epsilon",EIF2B5,1197
50,rat,Eukaryotic translation initiation factor 2 subunit 1,RNA-binding; Translation; Translation initiation,P68101,"eIF-2-alpha; eIF-2A; eIF-2alpha; eIF2-alpha; Eif2a; Eif2s1; Eukaryotic translation initiation factor 2 subunit 1; Eukaryotic translation initiation factor 2 subunit alpha; eukaryotic translation initiation factor 2, subunit 1 alpha; MGC93488",Eif2s1,1555
51,rat,Eukaryotic translation initiation factor 5,Translation; Translation initiation,Q07205,eIF-5; Eif5; eukaryotic initiation factor 5 (eIF-5); Eukaryotic translation initiation factor 5; IF5,Eif5,1560
52,mouse,ETS domain-containing protein Elk-1,DNA-binding; Transcription factor,P41969,"Elk-; Elk-1; Elk1; ELK1, member of ETS oncogene family; ETS domain-containing protein Elk-1; OTTMUSP00000018693",Elk1,1562
53,mouse,Receptor tyrosine-protein kinase erbB-2,"EC 2.7.10.1; EGFR family; Kinase, protein; Membrane protein, integral; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (receptor); TK group",P70424,"avian erythroblastosis oncogene B 2; c-erbB; c-erbB-2; c-erbB2; c-ne; c-neu; CD340; erb-b2 receptor tyrosine kinase 2; ErbB-; Erbb-2; Erbb2; HER; HER-; HER-2; HER2; Kiaa3023; l11Ju; l11Jus8; mKIAA3023; Neu; Neu oncogene; OTTMUSP00000002540; p185erbB2; Proto-oncogene c-ErbB-2; Proto-oncogene Neu; Receptor tyrosine-protein kinase erbB-2; v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog; v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",Erbb2,1581
54,mouse,ETS domain-containing transcription factor ERF,DNA-binding; Transcription factor,P70459,Erf; Est2 repressor factor; ETS domain-containing transcription factor ERF; Ets2 repressor factor,Erf,1582
55,human,Separin,EC 3.4.22.49; Protease,Q14674,"Caspase-like protein ESPL1; ESP1; ESPL1; extra spindle pole bodies 1, separase; extra spindle pole bodies homolog 1; extra spindle pole bodies homolog 1 (S. cerevisiae); extra spindle pole bodies like 1, separase; extra spindle poles like 1; Extra spindle poles-like 1 protein; FLJ46492; KIAA0165; SEPA; Separase; Separin; separin, cysteine protease",ESPL1,1186
56,human,FAS-associated death domain protein,Adaptor/scaffold; Apoptosis,Q13158,FADD; Fas (TNFRSF6)-associated via death domain; Fas associated via death domain; FAS-associated death domain protein; FAS-associating death domain-containing protein; Fas-associating protein with death domain; GIG3; Growth-inhibiting gene 3 protein; Mediator of receptor induced toxicity; mediator of receptor-induced toxicity; MGC8528; MORT1; Protein FADD,FADD,1124
57,mouse,Low affinity immunoglobulin gamma Fc region receptor II,"Cell surface; Membrane protein, integral; Oncoprotein",P08101,"AI528646; CD32; F630109E10Rik; Fc gamma receptor IIB; Fc gamma RIIB; Fc receptor, IgG, low affinity IIb; Fc-gamma RII; Fc-gamma-RII; Fc-gamma-RIIB; Fc[g]; Fc[g]RII; Fcg; Fcgamm; FcgammaRIIB; Fcgr; Fcgr2; Fcgr2a; Fcgr2b; FcgRII; Fcr-; Fcr-2; Fcr-3; FcRII; IgG Fc receptor II beta; Low affinity immunoglobulin gamma Fc region receptor II; low affinity immunoglobulin gamma Fc region receptor II-b; Ly-1; Ly-17; Ly-m2; Ly-m20; LyM-; LyM-1; Lymphocyte antigen 17; OTTMUSP00000024374; OTTMUSP00000024375",Fcgr2,1617
